id,수신,송신,에러,시작 시간,동작 시간
mqttin,1416,1416,0,2023-12-350 17:46:47,00:00:00.0062
mqttin,1564,1564,0,2023-12-350 17:46:48,00:00:00.0028
mqttMessageProcessingNode,1564,170,0,2023-12-350 17:46:48,00:00:00.0049
ruleEngineNode,170,170,0,2023-12-350 17:46:48,00:00:00.0002
modbusMapperKeywordToRegister,170,60,0,2023-12-350 17:46:48,00:00:00.0005
ruleEngineNode,153,153,0,2023-12-350 17:46:48,00:00:00.0001
mqttMessageProcessingNode,1564,153,0,2023-12-350 17:46:48,00:00:00.0055
modbusMapperKeywordToRegister,153,46,0,2023-12-350 17:46:48,00:00:00.0001
mqttMessageGenerator,170,140,0,2023-12-350 17:46:48,00:00:00.0031
mqttMessageGenerator,153,137,0,2023-12-350 17:46:48,00:00:00.0001
mqttin,1682,1682,0,2023-12-350 17:46:49,00:00:00.0002
modbusMapperKeywordToRegister,156,46,0,2023-12-350 17:46:49,00:00:00.0002
mqttMessageGenerator,156,140,0,2023-12-350 17:46:49,00:00:00.0002
mqttMessageProcessingNode,1682,156,0,2023-12-350 17:46:49,00:00:00.0002
ruleEngineNode,156,156,0,2023-12-350 17:46:49,00:00:00.0000
mqttMessageProcessingNode,1682,153,0,2023-12-350 17:46:49,00:00:00.0009
ruleEngineNode,153,153,0,2023-12-350 17:46:49,00:00:00.0001
modbusMapperKeywordToRegister,153,46,0,2023-12-350 17:46:49,00:00:00.0005
mqttMessageGenerator,153,137,0,2023-12-350 17:46:49,00:00:00.0005
mqttMessageProcessingNode,1682,149,0,2023-12-350 17:46:49,00:00:00.0016
ruleEngineNode,149,149,0,2023-12-350 17:46:49,00:00:00.0003
modbusMapperKeywordToRegister,149,47,0,2023-12-350 17:46:49,00:00:00.0000
mqttMessageGenerator,149,132,0,2023-12-350 17:46:49,00:00:00.0000
mqttin,1550,1550,0,2023-12-350 17:47:06,00:00:00.0013
mqttMessageGenerator,173,142,0,2023-12-350 17:47:06,00:00:00.0001
modbusMapperKeywordToRegister,173,61,0,2023-12-350 17:47:06,00:00:00.0001
ruleEngineNode,173,173,0,2023-12-350 17:47:06,00:00:00.0001
mqttMessageProcessingNode,1550,173,0,2023-12-350 17:47:06,00:00:00.0008
mqttMessageProcessingNode,1550,156,0,2023-12-350 17:47:06,00:00:00.0014
ruleEngineNode,156,156,0,2023-12-350 17:47:06,00:00:00.0000
mqttMessageGenerator,156,139,0,2023-12-350 17:47:06,00:00:00.0000
modbusMapperKeywordToRegister,156,47,0,2023-12-350 17:47:06,00:00:00.0001
mqttin,1306,1306,0,2023-12-350 17:47:09,00:00:00.0010
mqttMessageGenerator,170,139,0,2023-12-350 17:47:09,00:00:00.0000
modbusMapperKeywordToRegister,170,61,0,2023-12-350 17:47:09,00:00:00.0000
ruleEngineNode,170,170,0,2023-12-350 17:47:09,00:00:00.0001
mqttMessageProcessingNode,1306,170,0,2023-12-350 17:47:09,00:00:00.0007
ruleEngineNode,153,153,0,2023-12-350 17:47:09,00:00:00.0000
mqttMessageGenerator,153,136,0,2023-12-350 17:47:09,00:00:00.0000
modbusMapperKeywordToRegister,153,47,0,2023-12-350 17:47:09,00:00:00.0000
mqttMessageProcessingNode,1306,153,0,2023-12-350 17:47:09,00:00:00.0015
mqttin,1617,1617,0,2023-12-350 17:47:09,00:00:00.0002
ruleEngineNode,170,170,0,2023-12-350 17:47:09,00:00:00.0006
mqttMessageProcessingNode,1617,170,0,2023-12-350 17:47:09,00:00:00.0010
mqttMessageGenerator,170,139,0,2023-12-350 17:47:09,00:00:00.0001
ruleEngineNode,153,153,0,2023-12-350 17:47:09,00:00:00.0000
mqttMessageProcessingNode,1617,153,0,2023-12-350 17:47:09,00:00:00.0011
mqttMessageGenerator,153,136,0,2023-12-350 17:47:09,00:00:00.0000
modbusMapperKeywordToRegister,170,61,0,2023-12-350 17:47:09,00:00:00.0000
modbusMapperKeywordToRegister,153,47,0,2023-12-350 17:47:09,00:00:00.0000
mqttin,1226,1226,0,2023-12-350 17:47:15,00:00:00.0009
mqttMessageProcessingNode,1226,170,0,2023-12-350 17:47:15,00:00:00.0002
mqttMessageProcessingNode,1226,154,0,2023-12-350 17:47:15,00:00:00.0003
ruleEngineNode,170,170,0,2023-12-350 17:47:15,00:00:00.0001
mqttMessageGenerator,170,140,0,2023-12-350 17:47:15,00:00:00.0000
ruleEngineNode,154,154,0,2023-12-350 17:47:15,00:00:00.0000
mqttMessageGenerator,154,137,0,2023-12-350 17:47:15,00:00:00.0000
modbusMapperKeywordToRegister,170,60,0,2023-12-350 17:47:15,00:00:00.0000
modbusMapperKeywordToRegister,154,47,0,2023-12-350 17:47:15,00:00:00.0000
mqttin,1547,1547,0,2023-12-350 17:47:15,00:00:00.0001
modbusMapperKeywordToRegister,170,60,0,2023-12-350 17:47:15,00:00:00.0001
mqttMessageGenerator,170,140,0,2023-12-350 17:47:15,00:00:00.0000
ruleEngineNode,170,170,0,2023-12-350 17:47:15,00:00:00.0001
mqttMessageProcessingNode,1547,170,0,2023-12-350 17:47:15,00:00:00.0002
mqttMessageProcessingNode,1547,154,0,2023-12-350 17:47:15,00:00:00.0004
ruleEngineNode,154,154,0,2023-12-350 17:47:15,00:00:00.0000
modbusMapperKeywordToRegister,154,47,0,2023-12-350 17:47:15,00:00:00.0000
mqttMessageGenerator,154,137,0,2023-12-350 17:47:15,00:00:00.0000
mqttin,1358,1358,0,2023-12-350 17:47:18,00:00:00.0003
modbusMapperKeywordToRegister,157,47,0,2023-12-350 17:47:18,00:00:00.0008
mqttMessageGenerator,157,140,0,2023-12-350 17:47:18,00:00:00.0006
ruleEngineNode,157,157,0,2023-12-350 17:47:18,00:00:00.0000
mqttMessageProcessingNode,1358,157,0,2023-12-350 17:47:18,00:00:00.0002
ruleEngineNode,154,154,0,2023-12-350 17:47:18,00:00:00.0001
modbusMapperKeywordToRegister,154,47,0,2023-12-350 17:47:18,00:00:00.0002
mqttMessageGenerator,154,137,0,2023-12-350 17:47:18,00:00:00.0001
mqttin,1679,1679,0,2023-12-350 17:47:18,00:00:00.0003
mqttMessageProcessingNode,1358,154,0,2023-12-350 17:47:18,00:00:00.0025
ruleEngineNode,150,150,0,2023-12-350 17:47:18,00:00:00.0000
mqttMessageGenerator,150,132,0,2023-12-350 17:47:18,00:00:00.0000
modbusMapperKeywordToRegister,150,48,0,2023-12-350 17:47:18,00:00:00.0000
mqttMessageProcessingNode,1358,150,0,2023-12-350 17:47:18,00:00:00.0029
mqttMessageProcessingNode,1679,157,0,2023-12-350 17:47:18,00:00:00.0001
ruleEngineNode,157,157,0,2023-12-350 17:47:18,00:00:00.0000
mqttMessageGenerator,157,140,0,2023-12-350 17:47:18,00:00:00.0000
mqttMessageProcessingNode,1679,154,0,2023-12-350 17:47:18,00:00:00.0001
ruleEngineNode,154,154,0,2023-12-350 17:47:18,00:00:00.0000
mqttMessageProcessingNode,1679,150,0,2023-12-350 17:47:18,00:00:00.0002
